epoch,loss,val_loss
1,0.16998356580734253,0.18637306988239288
2,0.14403904974460602,0.15048250555992126
3,0.13087904453277588,0.060986921191215515
4,0.04572067782282829,0.03110022284090519
5,0.02665131911635399,0.022627869620919228
6,0.022693872451782227,0.0218124408274889
7,0.021608728915452957,0.021460022777318954
8,0.02132963389158249,0.021173065528273582
9,0.02093849517405033,0.020524078980088234
10,0.020154865458607674,0.019686484709382057
11,0.01946084015071392,0.01924768276512623
12,0.01916840486228466,0.019087109714746475
13,0.01904798299074173,0.019011564552783966
14,0.01898764632642269,0.018968353047966957
15,0.018951797857880592,0.018942080438137054
16,0.018929006531834602,0.018925100564956665
17,0.018913889303803444,0.018911581486463547
18,0.018902432173490524,0.018899686634540558
19,0.01888994500041008,0.018890388309955597
20,0.01887892745435238,0.018878942355513573
21,0.01886940933763981,0.018871299922466278
22,0.01886252500116825,0.01886550895869732
23,0.018857503309845924,0.018861334770917892
24,0.018853355199098587,0.018857473507523537
25,0.0188498105853796,0.018854452297091484
26,0.018846701830625534,0.01885152794420719
27,0.01884414069354534,0.018849104642868042
28,0.018841851502656937,0.01884705200791359
29,0.018840067088603973,0.018846793100237846
30,0.018838290125131607,0.0188427921384573
31,0.01883520558476448,0.018841003999114037
32,0.018833404406905174,0.018839091062545776
33,0.018832150846719742,0.018837695941329002
34,0.01883028633892536,0.01883607730269432
35,0.018828820437192917,0.018834872171282768
36,0.018827689811587334,0.018833568319678307
37,0.018826542422175407,0.01883290894329548
38,0.018826177343726158,0.0188323725014925
39,0.018825044855475426,0.018830953165888786
40,0.01882300339639187,0.018828216940164566
41,0.018821408972144127,0.018827520310878754
42,0.01881990022957325,0.01882566139101982
43,0.018818523734807968,0.018824776634573936
44,0.018817968666553497,0.01882411353290081
45,0.018817072734236717,0.01882316544651985
46,0.018816091120243073,0.01882251352071762
47,0.018815435469150543,0.01882161945104599
48,0.0188145712018013,0.018820958212018013
49,0.018813706934452057,0.018820183351635933
50,0.018813451752066612,0.018819672986865044
51,0.01881271041929722,0.018819330260157585
52,0.018812844529747963,0.01881892792880535
53,0.01881185919046402,0.01881827972829342
54,0.018811563029885292,0.0188179649412632
55,0.018810976296663284,0.018817707896232605
56,0.018810683861374855,0.018817588686943054
57,0.01880999095737934,0.018816884607076645
58,0.01880982704460621,0.018817005679011345
59,0.018809881061315536,0.01881728507578373
60,0.018809501081705093,0.018816670402884483
61,0.01880948431789875,0.018817143514752388
62,0.018808932974934578,0.01881580613553524
63,0.018808182328939438,0.018815195187926292
64,0.018808161839842796,0.01881580613553524
65,0.018808171153068542,0.018814818933606148
66,0.01880778558552265,0.01881437934935093
67,0.01880723237991333,0.018813861533999443
68,0.0188069436699152,0.018814073875546455
69,0.018806664273142815,0.0188137274235487
70,0.01880634017288685,0.018813353031873703
71,0.018806565552949905,0.018813883885741234
72,0.018806681036949158,0.018813587725162506
73,0.018806669861078262,0.018814129754900932
74,0.018805814906954765,0.01881297118961811
75,0.018805546686053276,0.01881355606019497
76,0.018805671483278275,0.0188132431358099
77,0.01880519837141037,0.018812255933880806
78,0.01880495250225067,0.01881268061697483
79,0.018805010244250298,0.018812967464327812
80,0.01880539022386074,0.01881282776594162
81,0.018804794177412987,0.018811969086527824
82,0.018804486840963364,0.018811672925949097
83,0.01880444772541523,0.01881219632923603
84,0.018804319202899933,0.018813161179423332
85,0.018804309889674187,0.018811851739883423
86,0.018804438412189484,0.018811561167240143
87,0.018804240971803665,0.018811367452144623
88,0.01880374364554882,0.01881316676735878
89,0.0188041590154171,0.018811386078596115
90,0.018803520128130913,0.018810933455824852
91,0.018803570419549942,0.018811624497175217
92,0.018803656101226807,0.018810661509633064
93,0.018804971128702164,0.018810274079442024
94,0.018803967162966728,0.018811054527759552
95,0.018803076818585396,0.018810715526342392
96,0.018803054466843605,0.018810447305440903
97,0.018802709877490997,0.018810460343956947
98,0.0188029445707798,0.0188099704682827
99,0.018802406266331673,0.01880974881350994
100,0.01880226843059063,0.01880960911512375
