timestep,latent-rmse_1,rmse_1,latent-mae_1,mae_1,time_1,latent-rmse_2,rmse_2,latent-mae_2,mae_2,time_2,latent-rmse_3,rmse_3,latent-mae_3,mae_3,time_3,latent-rmse_4,rmse_4,latent-mae_4,mae_4,time_4,latent-rmse_5,rmse_5,latent-mae_5,mae_5,time_5,latent-rmse_6,rmse_6,latent-mae_6,mae_6,time_6,latent-rmse_7,rmse_7,latent-mae_7,mae_7,time_7,latent-rmse_8,rmse_8,latent-mae_8,mae_8,time_8,latent-rmse_9,rmse_9,latent-mae_9,mae_9,time_9
8210000,0.0007578570512123406,0.13707375526428223,0.0006977165467105806,0.10650403052568436,5.260133650153875,0.0004815871943719685,0.13703882694244385,0.0004255547537468374,0.10647203773260117,5.803927779197693,0.0006995297153480351,0.13707949221134186,0.0006584594375453889,0.10648448020219803,6.218756083399057,0.0003962975461035967,0.1369214802980423,0.00037781958235427737,0.10638029128313065,6.494462955743074,0.00043948268285021186,0.13709750771522522,0.00039894902147352695,0.10654381662607193,6.713628303259611,0.0008658787701278925,0.13714689016342163,0.0008032238692976534,0.10650915652513504,6.7909639328718185,0.0006349300383590162,0.1371961534023285,0.0005882797995582223,0.10658935457468033,7.1677351370453835,0.0008286340744234622,0.13717927038669586,0.0007696350221522152,0.10653627663850784,7.4243806302547455,0.0007731525111012161,0.13714943826198578,0.0007135072373785079,0.10653873533010483,7.721882313489914
8215000,0.0004183482378721237,0.13703759014606476,0.00042902049608528614,0.10647309571504593,5.650789942592382,0.000246071198489517,0.1370779573917389,0.00032228813506662846,0.10648560523986816,5.585228092968464,0.0004935362958349288,0.13692006468772888,0.0004527862183749676,0.10638074576854706,6.12040376290679,0.0004762740572914481,0.13709601759910583,0.0004641967243514955,0.10654439777135849,6.452190689742565,0.00029688209178857505,0.1371452808380127,0.0003497657598927617,0.10650999844074249,6.645563989877701,0.0002812264137901366,0.13719424605369568,0.00031891901744529605,0.10659018158912659,6.720334757119417,0.00027349055744707584,0.1371774971485138,0.00033969234209507704,0.10653702914714813,6.964411120861769,0.0002850613964255899,0.13714808225631714,0.00033894111402332783,0.10653997212648392,7.341960910707712,0.00027860794216394424,0.13715432584285736,0.00031516357557848096,0.1065538227558136,7.571384310722351
8220000,0.00035873762681148946,0.13707830011844635,0.0003613793523982167,0.10648484528064728,5.331228952854872,0.00028954396839253604,0.13692036271095276,0.0002964758314192295,0.10638026148080826,5.6861406192183495,0.0003007662598975003,0.1370963305234909,0.0003121703048236668,0.10654386878013611,5.98154915496707,0.000509157485794276,0.13714565336704254,0.00047568429727107286,0.10650934278964996,6.1444733291864395,0.00031766932806931436,0.13719475269317627,0.0003440111759118736,0.10658952593803406,6.494266912341118,0.0004731726658064872,0.1371779441833496,0.0004411061527207494,0.10653642565011978,6.52648601680994,0.0004338182625360787,0.13714835047721863,0.0004264526069164276,0.10653915256261826,7.1524642407894135,0.00032390636624768376,0.13715478777885437,0.00035094929626211524,0.10655316710472107,7.316731847822666,0.0003277892537880689,0.1370226889848709,0.00034069555113092065,0.1064799502491951,7.406418211758137
8225000,0.00045628013322129846,0.13692007958889008,0.0004229593323543668,0.1063806563615799,5.386029835790396,0.00044143846025690436,0.13709603250026703,0.00040721945697441697,0.10654429346323013,5.837324075400829,0.0003180207568220794,0.1371452957391739,0.0003202439984306693,0.10650988668203354,6.038886960595846,0.00026505865389481187,0.13719429075717926,0.0002708064275793731,0.10659004747867584,6.544308271259069,0.00029082028777338564,0.13717752695083618,0.0002926961751654744,0.10653691738843918,6.660809740424156,0.0002913330099545419,0.13714808225631714,0.00030121346935629845,0.10653982311487198,6.878096144646406,0.0002637987781781703,0.13715435564517975,0.0002805401454679668,0.10655369609594345,7.2054448537528515,0.0002674391434993595,0.13702216744422913,0.00025529699632897973,0.10648027062416077,7.308106869459152,0.0002691804838832468,0.13713856041431427,0.00027064915047958493,0.10653472691774368,7.673828396946192
8230000,0.0002961599675472826,0.1370965540409088,0.000298484752420336,0.10654378682374954,5.142121110111475,0.0005981166614219546,0.13714589178562164,0.0005438140360638499,0.10650921612977982,7.27354921400547,0.0003876327828038484,0.13719503581523895,0.0003791979397647083,0.1065894067287445,6.026295013725758,0.0005613787216134369,0.1371782124042511,0.0005228111986070871,0.10653632879257202,6.501528900116682,0.0005153343663550913,0.13714855909347534,0.0004746608901768923,0.10653898119926453,6.527476012706757,0.0003950434329453856,0.13715507090091705,0.0003874155809171498,0.10655305534601212,6.926835048943758,0.0003985218645539135,0.1370229870080948,0.0003942908369936049,0.10647992044687271,7.1668000891804695,0.00047621599514968693,0.13713917136192322,0.00044075463665649295,0.10653412342071533,7.383862044662237,0.0004034853191114962,0.1371307522058487,0.00040873466059565544,0.10652632266283035,7.6903472654521465
8235000,0.0005648271762765944,0.13714580237865448,0.0005247626104392111,0.1065092608332634,5.507039837539196,0.00036007410380989313,0.1371949166059494,0.0003602108918130398,0.10658944398164749,5.654454696923494,0.0005282993661239743,0.13717810809612274,0.0005024284473620355,0.10653635859489441,6.176612805575132,0.00048439548118039966,0.13714846968650818,0.00046224583638831973,0.1065390333533287,6.232893094420433,0.00036713798181153834,0.1371549516916275,0.0003686603158712387,0.1065531000494957,6.725682877004147,0.0003707623982336372,0.13702286779880524,0.00036613154225051403,0.10647992044687271,6.79192878305912,0.0004455946327652782,0.13713908195495605,0.0004283676389604807,0.10653416067361832,7.093410938978195,0.00037316506495699286,0.13713067770004272,0.000381616351660341,0.10652637481689453,7.535062730312347,0.0010306860785931349,0.13713034987449646,0.0009453286766074598,0.10647579282522202,7.506649009883404
8240000,0.0003500421589706093,0.1371941864490509,0.00037352327490225434,0.10659053176641464,5.449212156236172,0.00026233692187815905,0.1371774673461914,0.0002628221409395337,0.10653738677501678,5.8531868271529675,0.0003027414495591074,0.13714812695980072,0.00031185278203338385,0.10654040426015854,6.134395021945238,0.0003448759380262345,0.13715428113937378,0.00035381753696128726,0.10655419528484344,6.414799951016903,0.00034713110653683543,0.13702204823493958,0.0003503185580484569,0.10648061335086823,6.80710282176733,0.00030190852703526616,0.13713853061199188,0.00031286588637158275,0.10653521120548248,6.689096800982952,0.00030563780455850065,0.13713036477565765,0.0003162019420415163,0.10652752220630646,7.05732312053442,0.0005839146324433386,0.1371302604675293,0.0005190903320908546,0.1064772978425026,7.306178100407124,0.0006735268980264664,0.13721971213817596,0.0006142433267086744,0.10656912624835968,7.570161018520594
8245000,0.0003310713800601661,0.13717760145664215,0.00034680747194215655,0.10653674602508545,5.469707772135735,0.00031586564728058875,0.13714811205863953,0.0003358731628395617,0.10653959959745407,5.750478245317936,0.0002556086692493409,0.1371544450521469,0.00027169124223291874,0.10655351728200912,5.885208025574684,0.0002596860285848379,0.13702227175235748,0.00026421167422086,0.10648014396429062,6.0235499404370785,0.00028634726186282933,0.13713862001895905,0.00028699322137981653,0.10653455555438995,6.547116208821535,0.00023317609156947583,0.13713033497333527,0.00026787567185238004,0.10652682185173035,6.810174789279699,0.0007936436450108886,0.13713014125823975,0.0007204460562206805,0.10647643357515335,6.731430068612099,0.0008983084699138999,0.1372198760509491,0.0008417816716246307,0.10656853765249252,7.178945932537317,0.0004268302582204342,0.1370757818222046,0.00037441850872710347,0.10651186853647232,7.43494788184762
8250000,0.0002925412554759532,0.13714811205863953,0.00028446619398891926,0.1065402701497078,5.448359064757824,0.0003221296356059611,0.13715429604053497,0.00033161946339532733,0.10655408352613449,5.378700792789459,0.00032466655829921365,0.13702206313610077,0.0003274402697570622,0.10648052394390106,6.023772992193699,0.0002872808836400509,0.1371385157108307,0.00029468623688444495,0.10653509944677353,6.40209810808301,0.0002835311752278358,0.13713034987449646,0.0003016620175912976,0.1065274029970169,6.635831203311682,0.0006134144496172667,0.13713021576404572,0.0005583304446190596,0.10647714883089066,6.647353991866112,0.0007060131756588817,0.13721971213817596,0.0006439994322136045,0.10656902194023132,7.219433784484863,0.00030896341195330024,0.137075275182724,0.00031786272302269936,0.10651212185621262,7.142439018934965,0.0003506906214170158,0.1371862143278122,0.0003404687740840018,0.10659870505332947,7.524793967604637
8255000,0.0002858752850443125,0.13715431094169617,0.0003190960851497948,0.10655386745929718,5.3783743642270565,0.000288993091089651,0.13702210783958435,0.00030842149863019586,0.10648036748170853,5.834441166371107,0.0002702591009438038,0.13713853061199188,0.0002892651245929301,0.10653489083051682,6.226042751222849,0.00024991619284264743,0.13713032007217407,0.00031126849353313446,0.1065271869301796,10.125936940312386,0.0006715363124385476,0.13713017106056213,0.0005965412128716707,0.10647689551115036,6.566611584275961,0.0007689784397371113,0.13721975684165955,0.0007039041956886649,0.106568843126297,6.932464893907309,0.0003389281337149441,0.13707542419433594,0.0003560328623279929,0.10651201009750366,6.91366707906127,0.0003149141848552972,0.13718633353710175,0.00031092314748093486,0.10659858584403992,7.248451933264732,0.00029824572266079485,0.13728827238082886,0.00030916137620806694,0.10662863403558731,7.783943321555853
