timestep,latent-rmse_1,rmse_1,latent-mae_1,mae_1,latent%_1,%_1,time_1,latent-rmse_2,rmse_2,latent-mae_2,mae_2,latent%_2,%_2,time_2,latent-rmse_3,rmse_3,latent-mae_3,mae_3,latent%_3,%_3,time_3,latent-rmse_4,rmse_4,latent-mae_4,mae_4,latent%_4,%_4,time_4,latent-rmse_5,rmse_5,latent-mae_5,mae_5,latent%_5,%_5,time_5,latent-rmse_6,rmse_6,latent-mae_6,mae_6,latent%_6,%_6,time_6,latent-rmse_7,rmse_7,latent-mae_7,mae_7,latent%_7,%_7,time_7,latent-rmse_8,rmse_8,latent-mae_8,mae_8,latent%_8,%_8,time_8,latent-rmse_9,rmse_9,latent-mae_9,mae_9,latent%_9,%_9,time_9
6205000,0.0008269560057669878,0.1371377984656968,0.0008464342099614441,0.10654860678029392,0.12261536844768818,237058.32547891978,0.0001385178565979004,0.0014554535737261176,0.13699202748152417,0.001968234311789274,0.1064514477546809,0.2440854163406313,237382.19630981752,0.00014461231231689453,0.0007914554444141686,0.13730257180797503,0.0008096059318631887,0.10666623803205308,0.11819114766247958,237283.17522426983,0.00014447903633117677,0.0010896296007558703,0.1370737490720644,0.0008510577608831227,0.10651388645703136,0.16690619299867962,236943.66155884694,0.0001292273998260498,0.0017114771762862802,0.13713402783415413,0.0011018094373866916,0.10657429844274369,0.28834920431551764,237233.92101008698,0.00021073722839355468,0.0014783005462959409,0.13712033387675804,0.0006779562099836767,0.10653853251274219,0.2429321894993852,236897.37134474545,0.00021164178848266603,0.003399212146177888,0.13708052469490098,0.002059505321085453,0.10650983572300352,0.5943530326763442,237551.31026413103,0.00013346290588378906,0.0020329381804913282,0.13717106908848073,0.0007212933851405978,0.10657525700072357,0.3435984643801892,236995.92743311808,0.00014468908309936524,0.002556168707087636,0.137070498187906,0.0009101029136218131,0.10652390965430664,0.43956682784427265,237002.69678417992,0.00013909482955932616
6210000,0.0010788312647491693,0.1369897107485404,0.0012568047968670726,0.1064485284758195,0.17378157679375955,237375.68644224526,0.00012790465354919434,0.0006357902311719954,0.13729750865971949,0.0005491236806847155,0.10665975521851208,0.0934685498755538,237268.75395461806,0.00012782883644104004,0.0006368460017256439,0.13706730841867404,0.0005380085203796625,0.10650639833033917,0.09556693907830269,236927.0039734776,0.00021103358268737793,0.0008346739923581481,0.13712587837610976,0.0005832564784213901,0.10656536084312475,0.12836730785855888,237214.02595252616,0.00013248133659362794,0.0006827372708357871,0.13711128638659784,0.0006661873776465654,0.10652860124421568,0.09827430051997946,236875.28833541053,0.00012738704681396483,0.0024793215561658144,0.13707046112505897,0.001365611795336008,0.10649903583155144,0.4276283855466175,237527.22302047221,0.0002073359489440918,0.0012443064479157329,0.13716178707722748,0.000619304773863405,0.10656527647567564,0.20052011421514465,236973.73331549112,0.00013841056823730467,0.0017112010391429067,0.13706039025983513,0.0006383567815646529,0.10651326414654494,0.28480170676009525,236979.01182879004,0.00013237476348876954,0.0015184700023382902,0.13717560991272817,0.0006201198557391763,0.10657087767961693,0.25272718645385706,236929.15698149236,0.0001403019428253174
6215000,0.000577736587729305,0.13729840746078997,0.001321349642239511,0.10666097689999504,0.0848627273027004,237271.47163236467,0.00013025236129760742,0.0006869246135465801,0.13706614340226406,0.0013277241960167885,0.1065049029205477,0.10255445054481123,236923.67738496108,0.00013632631301879882,0.0007384228520095348,0.13712492076204666,0.0010303521994501352,0.10656425040334598,0.1128895980962347,237211.554118448,0.00015017271041870117,0.0006067058420740068,0.13710947781176877,0.0015698322094976902,0.10652652029664128,0.08944175106845405,236870.6611737753,0.00020744156837463378,0.0023432907182723284,0.13706913517350316,0.0005410265293903649,0.10649757377599998,0.402878271212675,237523.9621647062,0.00020969796180725098,0.0010829753009602427,0.1371599684891019,0.0015125153586268425,0.1065632576858829,0.17128271089291108,236969.24404684955,0.00012940049171447754,0.0015733279287815094,0.13705889266148819,0.0012824777513742447,0.1065116460189546,0.25982066131755094,236975.4116924081,0.00021452999114990234,0.0014126526657491922,0.13717435089965285,0.0016510403947904706,0.10656957964462811,0.23262807971266342,236926.2711805839,0.00013872241973876954,0.002117069670930505,0.13732089665715702,0.0012318132212385535,0.10669326790625125,0.36096647305259144,237409.59403341846,0.00012930607795715333
6220000,0.0007278560660779476,0.1370661966416081,0.0004952038289047778,0.10650496707033122,0.1104960703867386,236923.82008827492,0.0001388857364654541,0.0007061142241582274,0.13712462149020543,0.0006175877642817795,0.1065639012497912,0.10655403990112576,237210.77690416577,0.00012930989265441895,0.0006240929360501468,0.13711038575517423,0.0005943858413957059,0.10652756977722774,0.09022869394023227,236872.9947819671,0.00020863580703735351,0.0024208424147218466,0.13706991015974768,0.0014285497600212693,0.10649842980900515,0.41729744281614745,237525.87139459705,0.00021734619140625,0.0011760818306356668,0.13716102468767433,0.000605095992796123,0.10656443393417198,0.18823703233657535,236971.85972014943,0.0001343088150024414,0.001707408344373107,0.137060351035352,0.0006215538014657795,0.10651322178921935,0.2843541635655752,236978.91758891067,0.0001357872486114502,0.0015447997720912099,0.13717590660758847,0.0006519813905470073,0.10657118287903229,0.2576170046819084,236929.83550307117,0.00020794486999511718,0.002253284677863121,0.13732259238979738,0.0006894490798003972,0.10669500688132214,0.38654765815472064,237413.46353122,0.00014599108695983887,0.0023079535458236933,0.13737828612080513,0.0005869073211215436,0.10673312716881256,0.39065721231598843,237400.07413695086,0.00014283227920532226
6225000,0.000775685824919492,0.1371248824659226,0.0006248637801036239,0.10656420788533288,0.11630659394176916,237211.45947353714,0.00020963430404663086,0.0006352326599881053,0.13710842133569642,0.0006212769076228142,0.10652527984336947,0.09647485495057943,236867.90292178487,0.00020720148086547852,0.0020042285323143005,0.1370661283026549,0.0014116417150944471,0.1064941945081765,0.34293830753276205,237516.42530678376,0.00021579551696777343,0.0008730547269806266,0.1371575258559978,0.0006629386334680021,0.10656049378264507,0.13309518544612936,236963.09783777973,0.0002083735466003418,0.0013360476586967707,0.13705637306095755,0.0006790215848013759,0.10650888551469778,0.21607653297383847,236969.269907381,0.00013338303565979003,0.001244322513230145,0.1371723765913567,0.0006790655897930264,0.10656752661307574,0.20070939436531274,236921.70686577706,0.00020889568328857422,0.0020295686554163694,0.1373198453626987,0.0007106602424755692,0.10669218399662536,0.34488395780019065,237407.1821610549,0.00013998603820800781,0.0020623269956558943,0.13737515768480316,0.0007082885131239891,0.10672985832101478,0.34514261129678564,237392.80343543456,0.0002955343723297119,0.002192372689023614,0.13729383479795534,0.0006256874767132103,0.10665380960211004,0.36802317503620546,237166.9959427951,0.00013421416282653807
6230000,0.0008067040471360087,0.13710498168065474,0.0007380213355645537,0.10652107213590835,0.12328234225747908,236858.54673099256,0.0002058384418487549,0.0013634735951200128,0.13706108679066872,0.0010927262483164668,0.10648828328987323,0.2225749550108457,237503.2413820911,0.00020732665061950684,0.0005565764149650931,0.1371526387186746,0.000746272096876055,0.10655474092815119,0.08231834931424331,236950.30497079974,0.00013358569145202636,0.0008713834104128182,0.13705150652329462,0.0006219835486263037,0.10650338307266646,0.13050621379314942,236957.0276454835,0.0001324138641357422,0.0007150902529247105,0.13716598906092894,0.0007958088535815477,0.10656072946392522,0.10613621426128927,236906.59539392707,0.00020633769035339355,0.0013069488340988755,0.13731173972155716,0.0006055023986846209,0.1066836459222381,0.211371158786264,237388.18357928962,0.00013220691680908202,0.0013780174776911736,0.13736710331497756,0.0006627951515838504,0.10672127472109878,0.21749186541996218,237373.71145049526,0.00014435338973999023,0.00152347213588655,0.13728556028174402,0.0007047547842375934,0.10664517878147099,0.24491361138868287,237147.80351252822,0.00013638710975646972,0.00147892942186445,0.13706339483437774,0.0009273543255403638,0.10649072752566834,0.24017084551421697,236698.91387527814,0.00021163249015808104
6235000,0.0020341365598142147,0.13706621504898944,0.0016437855083495378,0.1064942955241088,0.34573936286147927,237516.65060491618,0.00012695145606994628,0.0005708229728043079,0.13715226980491999,0.0006417995900847018,0.10655429476163315,0.08338116115975953,236949.31281135572,0.00020950412750244142,0.0006546308286488056,0.1370484390174955,0.0006379954284057021,0.1064997516522783,0.0970301402843952,236948.94817836743,0.00014472246170043945,0.0005824482068419456,0.13716247819025448,0.0005976479733362794,0.1065568435219877,0.0877301629556546,236897.9561393071,0.00013672947883605957,0.0010478983167558908,0.13730896040342955,0.0006122089689597487,0.10668062099883079,0.16428126638287796,237381.45264066348,0.00021185541152954102,0.0011050831526517868,0.13736408064376437,0.0005869690794497728,0.10671796377000238,0.16701859448394044,237366.34710114496,0.00020891284942626954,0.001251008128747344,0.1372824163965213,0.0006102346233092248,0.10664182334257154,0.196792317498378,237140.34199411812,0.00013673758506774902,0.0012189260451123118,0.13706039350765764,0.0007114610634744167,0.1064876630174147,0.1921000648114949,236692.10233598205,0.00020610642433166503,0.0007787520880810916,0.13728888356326915,0.0010895553277805448,0.10662341648148456,0.11826366788139933,236660.68243759742,0.00013425302505493163
6240000,0.0007704199524596334,0.13714938446761507,0.0016229896573349833,0.10655067914157909,0.11557018249998666,236941.27260341196,0.00012811040878295897,0.0006364742293953896,0.1370472977601848,0.0013633730122819543,0.10649835973450031,0.0955815397362419,236945.85133120752,0.0002067437171936035,0.0006137334275990725,0.1371610977246504,0.00174904300365597,0.10655527045704806,0.09187990518848176,236894.45888979445,0.00013857316970825194,0.0008178993011824787,0.13730637897654732,0.0012973648263141513,0.10667774527755616,0.1240695102463012,237375.05370065762,0.00012698221206665038,0.0009485276532359421,0.1373623442952543,0.0015189754776656628,0.10671602625012996,0.13963180848480153,237362.03759224585,0.00013172149658203125,0.0010305233299732208,0.1372798783969426,0.0016195896314457059,0.10663907005762988,0.15892055431903587,237134.21949065552,0.00014551901817321777,0.0010351099772378802,0.13705828928433822,0.0018532185349613428,0.10648548519403377,0.1593541969752336,236687.26164758735,0.0001294252872467041,0.0006567587843164802,0.13728642419363077,0.002616644138470292,0.1066207935175151,0.09802101219224622,236654.86052282955,0.00013642144203186035,0.002855155849829316,0.13716783604886537,0.0006337679806165397,0.10656331807934184,0.49750744542619935,237474.88462981998,0.00013319277763366698
6245000,0.0007589823799207807,0.13704975471054998,0.0006336166406981647,0.10650132615260834,0.11292374686283664,236952.45124941986,0.0001243898868560791,0.0005862268735654652,0.13716147666977824,0.0006353108328767121,0.10655570543838004,0.08698169280192544,236895.42594348235,0.00012689757347106933,0.0008487854502163827,0.13730666306769185,0.000681140401866287,0.10667806662836107,0.1304258672040277,237375.76875762045,0.0001374855041503906,0.0009053232497535646,0.1373617482744893,0.0006637931219302118,0.10671535464289185,0.1318518657787393,237360.54377666692,0.00013652420043945313,0.0010492282453924417,0.1372800908503713,0.0006604684749618173,0.10663930326174621,0.1614772004136483,237134.73806865962,0.00021015167236328126,0.0010373990517109632,0.137058333244454,0.0006951800896786153,0.10648553100526005,0.15977706612496195,236687.36347304913,0.00013674473762512207,0.0006646313704550266,0.137286602982225,0.0010916118044406176,0.10662098531097733,0.09935078156336018,236655.28622642395,0.00013377761840820313,0.0028719082474708557,0.13716803241103318,0.001202085637487471,0.10656352301671272,0.5007063117604134,237475.3413299246,0.00020572471618652343,0.0033150457311421633,0.13718738980747788,0.001361476257443428,0.10658122831387733,0.5793649221264968,237599.784968291,0.0001351323127746582
6250000,0.0006212284788489342,0.1371617730723968,0.0007332712411880493,0.10655604496948666,0.09382281345235223,236896.18079152913,0.0001283426284790039,0.0008233561529777944,0.1373059764124205,0.0005947197787463665,0.10667728733233665,0.12616419856727423,237374.03469926442,0.00020618438720703124,0.0006944052292965353,0.137358664025492,0.0006392424693331122,0.10671180580332157,0.1006388646637706,237352.6503062943,0.00012861013412475585,0.0007889698608778417,0.1372771477206077,0.0007248320034705102,0.10663605531292576,0.12053782837230036,237127.51557686515,0.0001375420093536377,0.000805343734100461,0.13705549453592739,0.0008086495799943805,0.10648254762771732,0.12053152967194342,236680.73226448803,0.00015631437301635742,0.0006029432406648993,0.1372835065575842,0.0013354737311601639,0.10661763791343207,0.08720655442127796,236647.85636332651,0.00013146400451660156,0.00259486329741776,0.13716495375378535,0.0009570328402332962,0.10656029204139461,0.4503355730029199,237468.14114598912,0.00013363766670227052,0.003033179324120283,0.13718406462171998,0.0011245990172028542,0.10657781705205795,0.5284701395930868,237592.18029824193,0.00020526528358459474,0.003413298400118947,0.13702361714751102,0.001279092743061483,0.10642287005601354,0.6006016867090788,237309.32917158582,0.00020709705352783204
